iter	RMSE
0	0.8316518425
1	0.8000373647
2	0.7703980786
3	0.7425370474
4	0.7168059144
5	0.6926178229
6	0.6686667398
7	0.6470533758
8	0.626402847
9	0.6061543273
10	0.588093529
11	0.5708500211
12	0.5553002654
13	0.5404026671
14	0.5263509736
15	0.5129775112
16	0.5004451222
17	0.4893122142
18	0.478311916
19	0.4683588284
20	0.4578387842
21	0.448662415
22	0.4399964209
23	0.4321191835
24	0.4249101701
25	0.4177593143
26	0.4111117971
27	0.4053519207
28	0.3996707494
29	0.3945602883
30	0.3895225777
31	0.3852890368
32	0.380844046
33	0.3773654397
34	0.3733002809
35	0.3696818677
36	0.3661062077
37	0.3630411638
38	0.359791195
39	0.3568231209
40	0.3541632424
41	0.3518019803
42	0.3495524822
43	0.3472174706
44	0.3455043689
45	0.3436393357
46	0.3418550349
47	0.3401119347
48	0.3385578597
49	0.3368825793
50	0.3353876629
51	0.3338782358
52	0.3325967565
53	0.331348977
54	0.3302238766
55	0.3291916154
56	0.3281619574
57	0.3270429581
58	0.3261077588
59	0.3252123733
60	0.3240723867
61	0.3232971221
62	0.3225314714
63	0.3213037218
64	0.3204056625
65	0.3195567773
66	0.318851535
67	0.3179846813
68	0.3172593798
69	0.316558259
70	0.3160011524
71	0.3154410919
72	0.3148704507
73	0.3143756764
74	0.3138917731
75	0.3134001367
76	0.3128496179
77	0.3121803031
78	0.3116985989
79	0.3113343926
80	0.3109439395
81	0.3105306285
82	0.3099475208
83	0.3095483178
84	0.3092428394
85	0.3087491178
86	0.3083964174
87	0.3080604429
88	0.3077420072
89	0.3072217623
90	0.3068789272
91	0.3062318938
92	0.3059204394
93	0.3054694895
94	0.3052082569
95	0.304928361
96	0.3046637335
97	0.3042861585
98	0.3039991331
99	0.3036708315
100	0.303177273
101	0.302862432
102	0.302462721
103	0.3020985414
104	0.3016313592
105	0.3013071311
106	0.3010608445
107	0.3006606124
108	0.3001395251
109	0.3000567005
110	0.2998698655
111	0.2996427131
112	0.2993315576
113	0.2991358217
114	0.2985889635
115	0.2981356872
116	0.2979106693
117	0.2973283849
118	0.2970188531
119	0.2965256109
120	0.2963543861
121	0.2961342327
122	0.2958668711
123	0.2957299096
124	0.2954597691
125	0.2949905072
126	0.2947151724
127	0.2943628979
128	0.2939596931
129	0.2936668027
130	0.2934949282
131	0.2932530266
132	0.292793462
133	0.2923832843
134	0.2921076908
135	0.2917948209
136	0.2916138652
137	0.2914739929
138	0.2909244619
139	0.2907097105
140	0.2904521077
141	0.2903244761
142	0.2900987366
143	0.2898436518
144	0.2895829338
145	0.289269536
146	0.2891442073
147	0.2889567739
148	0.288605827
149	0.2883400328
150	0.2881793266
151	0.2879964829
152	0.287753274
153	0.2875878169
154	0.2873784489
155	0.2869605034
156	0.2865078004
157	0.2863945876
158	0.2862580942
159	0.2859925294
160	0.2858532144
161	0.2856644895
162	0.2854810799
163	0.2853334078
164	0.2850506005
165	0.2847818907
166	0.2845722872
167	0.2843833147
168	0.2840961688
169	0.2838042946
170	0.2835876174
171	0.2834258412
172	0.2833036761
173	0.2830885106
174	0.2829597723
175	0.2826790225
176	0.2825019617
177	0.2823029306
178	0.2821714678
179	0.282018038
180	0.2817495381
181	0.2815348849
182	0.2814156109
183	0.2813102997
184	0.2811380268
185	0.28101228
186	0.2806930627
187	0.2803707933
188	0.2801191417
189	0.2799413782
190	0.27974837
191	0.2794775969
192	0.2792972425
193	0.279129454
194	0.2790127066
195	0.2788504037
196	0.2786933308
197	0.2783375416
198	0.2780028214
199	0.2777979166
200	0.2776407796
201	0.2774679812
202	0.2771136222
203	0.2767287187
204	0.2763841652
205	0.2761916131
206	0.2759322731
207	0.2758166993
208	0.2757931046
209	0.27561462
210	0.2755119038
211	0.2751403857
212	0.2750238624
213	0.2747799597
214	0.2745197155
215	0.2743898354
216	0.2740353292
217	0.2738706063
218	0.2738102097
219	0.2736298287
220	0.2733754669
221	0.2731452339
222	0.2729948182
223	0.2728200148
224	0.2726402849
225	0.2723422619
226	0.2721543771
227	0.2720500661
228	0.2718421647
229	0.271734124
230	0.2715552256
231	0.2714371461
232	0.2712972425
233	0.271153728
234	0.2710463082
235	0.2708842429
236	0.2707371722
237	0.2705159901
238	0.2704105631
239	0.2703397473
240	0.2702857378
241	0.2701955935
242	0.2699636742
243	0.2698017192
244	0.2696236818
245	0.2694499736
246	0.2691507782
247	0.269011046
248	0.2689115984
249	0.268787034
250	0.2687126328
251	0.2685422215
252	0.2684499588
253	0.2682333441
254	0.2679131342
255	0.2675792791
256	0.2673272625
257	0.2671932532
258	0.2670283193
259	0.2668894264
260	0.2667860965
261	0.266677652
262	0.2665117774
263	0.2662924406
264	0.2661539007
265	0.2660135619
266	0.2658386555
267	0.2656330896
268	0.2654198094
269	0.2651823102
270	0.265008876
271	0.2647617488
272	0.2646521539
273	0.2644387171
274	0.2642333066
275	0.2639729187
276	0.2638178927
277	0.2636729274
278	0.2635492432
279	0.2633723057
280	0.2632435008
281	0.2630582603
282	0.2629069325
283	0.2626870717
284	0.2624458688
285	0.262300586
286	0.2621317236
287	0.2620183627
288	0.2618959588
289	0.2617224629
290	0.2615720138
291	0.2615026705
292	0.2614076387
293	0.2612639829
294	0.2610607071
295	0.2608682961
296	0.260735941
297	0.260673409
298	0.2605572992
299	0.2604280274
300	0.2602351198
301	0.2601016866
302	0.2599294498
303	0.259825432
304	0.2595879313
305	0.2593989453
306	0.2592882522
307	0.2591765298
308	0.2590452084
309	0.2589878982
310	0.2588281939
311	0.2587265011
312	0.2586079213
313	0.2584517975
314	0.2583765769
315	0.2582062835
316	0.2580808598
317	0.2578522946
318	0.2577581972
319	0.2576790686
320	0.2575859427
321	0.2574995939
322	0.2574002302
323	0.2571804767
324	0.2570840007
325	0.2568461442
326	0.256741974
327	0.2566602855
328	0.2565279127
329	0.2563492996
330	0.2561714282
331	0.2560350313
332	0.2559848285
333	0.2558533592
334	0.2557517963
335	0.2555080207
336	0.2552081633
337	0.2549139131
338	0.2548197196
339	0.2546703741
340	0.2545879293
341	0.2544435527
342	0.2543911298
343	0.2542515904
344	0.2541359265
345	0.2540464471
346	0.253984074
347	0.2538466645
348	0.2536472275
349	0.2535706519
350	0.2534693365
351	0.2533761658
352	0.253239571
353	0.2531316905
354	0.252972919
355	0.2527662985
356	0.252670882
357	0.2525727315
358	0.2523863847
359	0.2522062816
360	0.2520987309
361	0.2519339505
362	0.2518846835
363	0.2517927643
364	0.2517266013
365	0.2515902932
366	0.251388092
367	0.2512019694
368	0.2511105928
369	0.2509712559
370	0.2508761538
371	0.2507514233
372	0.2505709684
373	0.2503007839
374	0.2502339269
375	0.250174951
376	0.2500795396
377	0.249927588
378	0.2498192824
379	0.2497130482
380	0.2495668808
381	0.2495125628
382	0.2494010646
383	0.2491410547
384	0.2489555633
385	0.2488143771
386	0.2486222444
387	0.2485397278
388	0.2484566866
389	0.2483594689
390	0.2482387399
391	0.2481192875
392	0.2479540737
393	0.2477827047
394	0.2476757741
395	0.2475334838
396	0.2474372651
397	0.2472275552
398	0.2471016611
399	0.2470403452
400	0.2469225228
401	0.2467842274
402	0.2466877701
403	0.2465412864
404	0.2464500506
405	0.2462596642
406	0.2462113894
407	0.2460516889
408	0.2459289351
409	0.2457965142
410	0.2456799179
411	0.2456229175
412	0.2454696887
413	0.2453513562
414	0.2452927736
415	0.2451849085
416	0.2451430625
417	0.24502486
418	0.2449525789
419	0.2448369032
420	0.2447266472
421	0.2446638972
422	0.2445528201
423	0.2444525302
424	0.2443578931
425	0.2442388752
426	0.2440870054
427	0.2439609745
428	0.2438210324
429	0.2437314125
430	0.2436182974
431	0.2435276072
432	0.2433901539
433	0.2433484023
434	0.2432677119
435	0.2430967641
436	0.2429961037
437	0.2429336361
438	0.2428536981
439	0.242784897
440	0.242723399
441	0.2425932498
442	0.2425595491
443	0.2424933285
444	0.2423939524
445	0.2422934473
446	0.2420508602
447	0.2419837313
448	0.2418216456
449	0.2416809811
450	0.2415105312
451	0.2413094999
452	0.2411651258
453	0.2410798221
454	0.2410336614
455	0.2408779264
456	0.2407267567
457	0.2406585221
458	0.2405119679
459	0.2404402846
460	0.240333056
461	0.2402376927
462	0.2401068735
463	0.239988828
464	0.2399010064
465	0.2398427592
466	0.2396856709
467	0.2395925871
468	0.2395296095
469	0.2393834926
470	0.2392529697
471	0.2391297295
472	0.2390856671
473	0.2389922529
474	0.2389112276
