iter	Passed	Remaining
0	8	7609
1	12	5533
2	15	4752
3	19	4291
4	23	4183
5	27	4067
6	30	3935
7	34	3834
8	37	3758
9	41	3689
10	45	3683
11	49	3627
12	52	3570
13	55	3542
14	59	3492
15	62	3449
16	66	3451
17	70	3458
18	73	3428
19	77	3388
20	80	3365
21	83	3340
22	86	3317
23	91	3326
24	94	3304
25	98	3315
26	103	3332
27	106	3320
28	109	3296
29	113	3283
30	116	3266
31	119	3251
32	123	3241
33	126	3226
34	129	3206
35	133	3196
36	136	3183
37	139	3174
38	143	3159
39	146	3149
40	149	3139
41	153	3126
42	156	3118
43	160	3113
44	163	3100
45	166	3093
46	170	3088
47	173	3080
48	176	3071
49	180	3063
50	183	3056
51	186	3049
52	190	3050
53	194	3043
54	197	3035
55	200	3023
56	204	3017
57	207	3007
58	210	3005
59	214	2999
60	217	2994
61	221	2991
62	225	2990
63	228	2985
64	231	2977
65	235	2971
66	238	2966
67	242	2967
68	245	2961
69	249	2955
70	252	2949
71	256	2944
72	259	2937
73	262	2931
74	265	2925
75	269	2916
76	272	2912
77	275	2907
78	279	2900
79	282	2893
80	285	2886
81	289	2886
82	292	2881
83	295	2874
84	299	2869
85	302	2865
86	306	2862
87	309	2856
88	313	2856
89	316	2851
90	320	2847
91	323	2843
92	327	2842
93	331	2839
94	334	2837
95	338	2832
96	341	2826
97	344	2822
98	348	2816
99	351	2810
100	354	2807
101	358	2802
102	361	2799
103	365	2795
104	368	2790
105	372	2787
106	375	2781
107	378	2777
108	382	2772
109	384	2757
110	387	2757
111	390	2750
112	394	2745
113	397	2740
114	400	2734
115	404	2732
116	407	2726
117	410	2722
118	414	2719
119	417	2715
120	421	2713
121	424	2708
122	427	2703
123	431	2697
124	434	2692
125	437	2688
126	440	2683
127	444	2678
128	447	2674
129	450	2669
130	454	2666
131	457	2660
132	460	2657
133	463	2652
134	467	2646
135	470	2642
136	473	2637
137	476	2633
138	480	2629
139	483	2623
140	487	2624
141	490	2619
142	494	2615
143	497	2611
144	500	2606
145	504	2604
146	507	2599
147	510	2595
148	514	2592
149	518	2590
150	521	2585
151	524	2580
152	527	2576
153	530	2571
154	534	2568
155	537	2565
156	541	2562
157	544	2557
158	547	2551
159	551	2548
160	554	2543
161	557	2540
162	560	2535
163	564	2532
164	567	2529
165	571	2526
166	574	2522
167	578	2518
168	581	2516
169	585	2515
170	589	2512
171	592	2509
172	596	2504
173	599	2501
174	602	2497
175	606	2492
176	609	2489
177	612	2486
178	616	2482
179	619	2477
180	622	2474
181	626	2469
182	629	2465
183	632	2460
184	637	2462
185	641	2460
186	644	2456
187	647	2452
188	652	2455
189	660	2468
190	668	2479
191	674	2488
192	679	2488
193	683	2488
194	688	2490
195	692	2488
196	696	2483
197	701	2486
198	705	2484
199	709	2483
200	714	2483
201	725	2505
202	738	2537
203	744	2541
204	750	2543
205	754	2540
206	757	2535
207	760	2530
208	762	2519
209	766	2519
210	770	2515
211	773	2511
212	777	2507
213	781	2504
214	785	2504
215	789	2499
216	792	2494
217	795	2489
218	800	2487
219	803	2483
220	806	2478
221	810	2474
222	813	2470
223	818	2468
224	821	2463
225	824	2460
226	828	2455
227	832	2454
228	836	2451
229	839	2446
230	843	2441
231	846	2438
232	852	2440
233	857	2441
234	861	2436
235	866	2437
236	869	2433
237	872	2428
238	876	2422
239	880	2421
240	884	2417
241	887	2412
242	890	2408
243	894	2403
244	898	2402
245	902	2398
246	905	2394
247	908	2389
248	913	2388
249	917	2384
250	920	2378
251	923	2374
252	926	2369
253	930	2367
254	934	2363
255	937	2359
256	941	2355
257	945	2352
258	949	2350
259	953	2345
260	956	2341
261	959	2336
262	964	2336
263	968	2333
264	971	2328
265	975	2324
266	979	2321
267	983	2318
268	986	2314
269	990	2310
270	993	2306
271	997	2303
272	1000	2298
273	1004	2294
274	1007	2290
275	1011	2286
276	1014	2282
277	1017	2277
278	1021	2273
279	1025	2270
280	1028	2266
281	1033	2264
282	1036	2260
283	1040	2256
284	1044	2253
285	1048	2250
286	1051	2245
287	1054	2241
288	1058	2237
289	1062	2234
290	1065	2230
291	1069	2225
292	1072	2221
293	1075	2216
294	1079	2214
295	1083	2210
296	1086	2206
297	1090	2202
298	1094	2200
299	1098	2197
300	1102	2193
301	1105	2189
302	1111	2189
303	1115	2187
304	1119	2183
305	1123	2180
306	1128	2179
307	1132	2177
308	1136	2173
309	1140	2169
310	1144	2167
311	1147	2163
312	1151	2159
313	1155	2155
314	1158	2151
315	1162	2149
316	1166	2145
317	1169	2141
318	1173	2137
319	1178	2135
320	1182	2132
321	1185	2127
322	1188	2123
323	1193	2121
324	1197	2118
325	1200	2114
326	1203	2109
327	1207	2105
328	1211	2102
329	1215	2098
330	1218	2094
331	1221	2090
332	1225	2086
333	1229	2084
334	1233	2079
335	1236	2076
336	1240	2072
337	1245	2070
338	1248	2066
339	1252	2062
340	1255	2057
341	1258	2053
342	1263	2052
343	1272	2056
344	1322	2127
345	1334	2137
346	1338	2133
347	1343	2130
348	1347	2127
349	1350	2122
350	1353	2117
351	1358	2114
352	1361	2109
353	1364	2104
354	1368	2100
355	1372	2097
356	1376	2093
357	1379	2088
358	1382	2083
359	1386	2079
360	1391	2077
361	1394	2072
362	1397	2067
363	1401	2063
364	1404	2059
365	1408	2055
366	1412	2051
367	1416	2047
368	1419	2042
369	1424	2040
370	1427	2036
371	1431	2031
372	1434	2027
373	1439	2024
374	1443	2020
375	1446	2015
376	1449	2011
377	1453	2006
378	1457	2004
379	1461	1999
380	1464	1994
381	1467	1990
382	1472	1987
383	1476	1984
384	1480	1980
385	1484	1976
386	1488	1973
387	1492	1969
388	1495	1964
389	1498	1959
390	1502	1955
391	1506	1952
392	1510	1948
393	1514	1945
394	1518	1941
395	1522	1937
396	1526	1934
397	1530	1930
398	1534	1926
399	1538	1923
400	1542	1919
401	1545	1914
402	1549	1910
403	1552	1906
404	1555	1901
405	1559	1897
406	1562	1892
407	1566	1889
408	1570	1884
409	1573	1880
410	1577	1876
411	1580	1872
412	1584	1868
413	1588	1864
414	1591	1859
415	1594	1855
416	1598	1851
417	1602	1847
418	1605	1843
419	1609	1839
420	1613	1835
421	1617	1832
422	1620	1827
423	1623	1823
424	1627	1818
425	1631	1815
426	1635	1811
427	1638	1806
428	1641	1802
429	1645	1798
430	1649	1795
431	1652	1790
432	1656	1786
433	1659	1782
434	1663	1778
435	1667	1774
436	1670	1769
437	1673	1765
438	1677	1761
439	1681	1757
440	1684	1753
441	1688	1749
442	1691	1744
443	1694	1740
444	1698	1736
445	1701	1732
446	1704	1727
447	1708	1723
448	1712	1719
449	1716	1716
450	1719	1712
451	1723	1707
452	1726	1703
453	1731	1700
454	1734	1696
455	1738	1692
456	1741	1688
457	1745	1684
458	1749	1681
459	1752	1676
460	1756	1672
461	1759	1668
462	1764	1665
463	1767	1660
464	1770	1656
465	1773	1652
466	1777	1648
467	1781	1644
468	1784	1640
469	1788	1635
470	1791	1631
471	1795	1628
472	1799	1624
473	1802	1620
474	1805	1615
475	1809	1612
476	1814	1608
477	1817	1604
478	1820	1600
479	1824	1596
480	1828	1592
481	1832	1588
482	1835	1584
483	1838	1580
484	1841	1575
485	1845	1572
486	1849	1568
487	1852	1563
488	1856	1560
489	1859	1556
490	1863	1552
491	1867	1548
492	1870	1543
493	1873	1539
494	1878	1536
495	1882	1533
496	1886	1529
497	1890	1525
498	1895	1523
499	1898	1519
500	1903	1515
501	1907	1512
502	1912	1509
503	1915	1504
504	1918	1500
505	1922	1496
506	1926	1493
507	1930	1489
508	1933	1485
509	1936	1480
510	1940	1477
511	1945	1474
512	1948	1470
513	1951	1465
514	1955	1461
515	1959	1458
516	1962	1454
517	1966	1450
518	1969	1445
519	1972	1441
520	1977	1438
521	1981	1434
522	1984	1430
523	1988	1426
524	1992	1423
525	1996	1419
526	1999	1415
527	2003	1411
528	2006	1407
529	2010	1403
530	2014	1399
531	2017	1395
532	2020	1391
533	2024	1387
534	2028	1384
535	2031	1379
536	2035	1376
537	2039	1372
538	2044	1369
539	2047	1364
540	2050	1360
541	2054	1356
542	2058	1353
543	2062	1349
544	2065	1345
545	2069	1341
546	2072	1337
547	2077	1334
548	2080	1330
549	2083	1326
550	2087	1322
551	2092	1318
552	2095	1315
553	2098	1310
554	2102	1306
555	2105	1302
556	2109	1299
557	2113	1295
558	2116	1291
559	2120	1287
560	2125	1284
561	2129	1280
562	2132	1276
563	2136	1272
564	2141	1269
565	2145	1266
566	2149	1262
567	2152	1258
568	2158	1255
569	2161	1251
570	2165	1247
571	2169	1243
572	2173	1240
573	2177	1236
574	2182	1233
575	2186	1230
576	2191	1226
577	2194	1222
578	2198	1218
579	2202	1215
580	2207	1212
581	2211	1208
582	2216	1204
583	2219	1201
584	2224	1197
585	2228	1194
586	2233	1190
587	2237	1187
588	2242	1184
589	2246	1180
590	2249	1176
591	2252	1171
592	2255	1167
593	2259	1163
594	2262	1159
595	2266	1155
596	2269	1151
597	2272	1147
598	2276	1143
599	2279	1139
600	2282	1135
601	2286	1131
602	2289	1127
603	2293	1124
604	2297	1120
605	2301	1116
606	2304	1112
607	2308	1108
608	2312	1104
609	2316	1101
610	2319	1097
611	2324	1093
612	2327	1089
613	2331	1085
614	2334	1081
615	2338	1078
616	2342	1074
617	2346	1070
618	2350	1066
619	2355	1063
620	2359	1060
621	2363	1056
622	2367	1052
623	2371	1049
624	2375	1045
625	2379	1041
626	2383	1037
627	2387	1034
628	2392	1030
629	2395	1026
630	2399	1022
631	2403	1019
632	2407	1015
633	2410	1011
634	2414	1007
635	2417	1003
636	2421	999
637	2426	996
638	2431	993
639	2435	989
640	2440	986
641	2445	982
642	2449	978
643	2453	975
644	2457	971
645	2461	967
646	2465	964
647	2469	960
648	2473	956
649	2477	952
650	2480	948
651	2484	944
652	2489	941
653	2493	937
654	2496	933
655	2500	929
656	2505	926
657	2508	922
658	2512	918
659	2515	914
660	2520	911
661	2524	907
662	2528	903
663	2531	899
664	2536	896
665	2543	893
666	2549	890
667	2556	887
668	2561	884
669	2565	880
670	2571	877
671	2576	874
672	2580	870
673	2583	866
674	2589	863
675	2592	859
676	2597	855
677	2603	852
678	2607	848
679	2610	844
680	2614	840
681	2619	837
682	2624	833
683	2627	829
684	2631	825
685	2637	822
686	2641	818
687	2644	814
688	2648	810
689	2652	807
690	2655	803
691	2659	799
692	2662	795
693	2666	791
694	2670	787
695	2673	783
696	2677	779
697	2681	775
698	2685	772
699	2688	768
700	2692	764
701	2695	760
702	2699	756
703	2703	752
704	2706	748
705	2709	744
706	2713	740
707	2717	736
708	2720	732
709	2724	729
710	2727	725
711	2731	721
712	2735	717
713	2738	713
714	2742	709
715	2745	705
716	2749	701
717	2752	697
718	2756	693
719	2760	690
720	2764	686
721	2767	682
722	2771	678
723	2774	674
724	2778	670
725	2782	666
726	2785	662
727	2788	658
728	2792	655
729	2796	651
730	2800	647
731	2804	643
732	2807	639
733	2810	635
734	2814	631
735	2819	628
736	2822	624
737	2825	620
738	2829	616
739	2833	612
740	2837	608
741	2841	605
742	2844	601
743	2848	597
744	2851	593
745	2854	589
746	2858	585
747	2861	581
748	2866	577
749	2869	573
750	2873	570
751	2876	566
752	2880	562
753	2883	558
754	2886	554
755	2890	550
756	2893	546
757	2896	542
758	2900	538
759	2903	534
760	2906	530
761	2910	527
762	2913	523
763	2916	519
764	2920	515
765	2924	511
766	2927	507
767	2932	504
768	2936	500
769	2939	496
770	2942	492
771	2946	488
772	2949	484
773	2953	480
774	2956	476
775	2960	472
776	2963	469
777	2966	465
778	2970	461
779	2974	457
780	2977	453
781	2981	449
782	2984	445
783	2987	442
784	2990	438
785	2993	434
786	2997	430
787	3000	426
788	3003	422
789	3007	418
790	3010	414
791	3014	411
792	3018	407
793	3021	403
794	3025	399
795	3029	395
796	3033	392
797	3036	388
798	3040	384
799	3044	380
800	3048	376
801	3051	372
802	3054	369
803	3058	365
804	3062	361
805	3065	357
806	3069	353
807	3072	349
808	3075	345
809	3080	342
810	3083	338
811	3087	334
812	3090	330
813	3095	326
814	3098	323
815	3101	319
816	3104	315
817	3109	311
818	3113	307
819	3117	304
820	3120	300
821	3124	296
822	3128	292
823	3132	288
824	3135	285
825	3139	281
826	3143	277
827	3148	273
828	3151	269
829	3154	266
830	3158	262
831	3162	258
832	3166	254
833	3169	250
834	3172	246
835	3177	243
836	3181	239
837	3184	235
838	3189	231
839	3193	228
840	3197	224
841	3200	220
842	3204	216
843	3208	212
844	3212	209
845	3216	205
846	3219	201
847	3223	197
848	3227	193
849	3231	190
850	3234	186
851	3238	182
852	3242	178
853	3246	174
854	3249	171
855	3252	167
856	3256	163
857	3261	159
858	3264	155
859	3268	152
860	3271	148
861	3276	144
862	3280	140
863	3283	136
864	3286	132
865	3290	129
866	3294	125
867	3298	121
868	3301	117
869	3304	113
870	3309	110
871	3313	106
872	3317	102
873	3320	98
874	3324	94
875	3328	91
876	3332	87
877	3335	83
878	3339	79
879	3343	75
880	3347	72
881	3350	68
882	3354	64
883	3358	60
884	3362	56
885	3365	53
886	3368	49
887	3371	45
888	3376	41
889	3380	37
890	3383	34
891	3386	30
892	3390	26
893	3394	22
894	3397	18
895	3401	15
896	3405	11
897	3409	7
898	3413	3
899	3416	0
